sentence,emotion
"Both of them were breathing hard, such a hurry and scramble of lips, hands, such a heat inside and between them, he stuffed one small breast into his mouth and then the other, giving her the same churn of astonished guilty pleasure as when she lay on her bed in the afternoons and read the forbidden books she smuggled home from the library.",Anticipation
"So I go, have a job to find it he just looks at me hard as nails.",Anger
"To fight for King and Country; to keep a stiff upper lip and a devil-may-care sangfroid, no matter if he were scared shitless.",Joy
"I was, as a newly arrived curate, somewhat taken aback and went home to lick my wounds.",Surprise
Did you have a lump in your throat?,Fear
"Yeah, pleased as punch.",Joy
"He won't eat dumplings, if he sees dumplings in a stew he'll puke.",Disgust
He doesn't come and whisper sweet nothings in our ears.,Sadness
"Mind you, when I was skivvying for that Brixton fam'ly, the head of the fam'ly didn't' alf take a fancy to me.",Surprise
Don't tear your hair out.,Anger
Feast your eyes on this little dazzler a gem in a million.,Joy
"Because you know they came up, they were full of the joys of spring, looking around, chatting to their friends.",Joy
"Both of them were breathing hard, such a hurry and scramble of lips, hands, such a heat inside and between them, he stuffed one small breast into his mouth and then the other, giving her the same churn of astonished guilty pleasure as when she lay on her bed in the afternoons and read the forbidden books she smuggled home from the library.",Joy
Ooh well they used to well they didn't used to sing a lot of songs but er they used to do a lot of you know playing about and perhaps and then they'd perhaps have a ball.,Joy
But you can be sure that you'll have the time of your life.,Anticipation
And mummy will have a whale of a time.,Joy
No. He was only pulling your leg.,Surprise
"Now take it easy, don't get panicky.",Fear
"After that, the world is your oyster, as they say.",Joy
"For the past five days now she had been living somewhere on cloud nine, and had decided that she might just as well set up home there, as it was such a wonderful place to be.",Joy
"Cry my eyes out, make an absolute wally of myself and now you tell me he was a Repo Man.",Sadness
"so, he said that she's feeling a bit down in the dumps and quite moody.",Sadness
"That erm, made me laugh because he said to his secretary, erm, you know, I I honestly don't think your time is she is so down in the mouth.",Joy
"To pretend as the sister said, that because she and another sister share lesbian sexuality, that that is the only thing, I think is living in a fools paradise.",Joy
Mr Crangle was grinning from ear to ear.,Joy
"They're going to have to come out of the forests,' he replied, with a grin like a Cheshire cat.",Joy
"The voice sings along with the song, then turns into a hum. Your heart sinks. You were hoping he was alone in the house.",Sadness
"Female speaker I jump for joy... but until I hear from the Foreign Office or from Martin, I won't believe it.",Joy
I suppose that comments like that are music to your ears?,Joy
"She was not quite sure what all of them were laughing about but there they were, rolling about with mirth, and Herbert Fraser looking as pleased as Punch.",Joy
"Constance was in seventh heaven, the dresses, the hats, the model girls, everything appeared perfect to her.",Joy
Oh Tilly was thrilled to bits with that little that little plastic thing.,Joy
"I'm tickled pink. If I wasn't, I wouldn't have kept quiet about you and him, would I?",Joy
"Erm since we've got together we, we are on top of the world.",Joy
"You feel, at the end of the treatment you feel as if you're walking on air.",Joy
I will go bananas.,Anger
It may very well be that I'm not playing with a full deck.,Sadness
If you think about it long enough you'll go nuts.,Anticipation
I swear you have a screw loose.,Disgust
"I'm gonna get stir crazy not being able to play badminton I know, and I score, it's gonna drive me crazy.",Sadness
Perhaps next time you'll inform me first before you gatecrash my party and throw yourself into the fountain.,Anger
"Come on now, Malachi, don't stand on ceremony here at home.",Anger
The fuel gauge had gone on the blink shortly after the start.,Sadness
It's alright but you get to the bottom of those stairs and sometimes feel lost.,Trust
"It's an embarrassing thing for a fault-tolerant vendor to have to say, but a bug in Guardian for the Tandem Computers Inc NonStop CLX machines caused them to reset their clocks to December 1,1983 on November 1, causing systems with time-dependent programs to go haywire.",Sadness
She was in dire straits.,Sadness
"Get that tray along to the study, or there'll be murder to pay.",Fear
"The Bookman put on a brave face and smiled, but Endill knew there was nothing to smile about.",Sadness
But we are saved by the bell.,Joy
"Trained as they were, the psychiatrists on the screening tests had failed to scratch the surface of her most secret place.",Sadness
"You spell trouble, and I want you out of the way.",Anger
"The cost of redeveloping a dilapidated shopping arcade into flats could spiral out of control, a councillor has warned.",Surprise
"And that we don't want to put up anything that'll be a stumbling block, to people coming.",Anticipation
So we now take the easy way out by using gas which we carry with us.,Anticipation
Eight extra bullets in a tight spot could mean the difference between life and death.,Fear
Presumably that's just the tip of the iceberg.,Anticipation
He just took a calculated risk on the spur of the moment.,Anticipation
"Close shave, that one.",Surprise
Hoomey's teeth were chattering after his dice with death.,Fear
"There is a legal case pending, and it is a very, very dicey situation.",Fear
The whole area seemed fraught with danger.,Fear
You escaped death by a hair 's breadth.,Anticipation
Obey them to the letter and you will be well rewarded -- any bungling or playing the fool and I doubt you'll live to tell the tale,Fear
"And would the swans find shelter from the storm, or ride it out like three-masted sailing ships?",Anticipation
Och he knows you're in safe hands like when you come round here.,Trust
Safety in numbers.,Trust
"You really do like to sail close to the wind, don't you?",Sadness
A business worth three billion pounds a year is at stake.,Fear
"If the bombing starts, take cover in the basement.",Fear
"And the, the swaying of the ship and I used to sleep like a log.",Trust
I can not sleep a wink now.,Sadness
The tree was destroyed before it could bear fruit.,Sadness
Can Desert Orchid the champion bring the house down and win.,Anticipation
"Anne Dawson, had your chips?",Surprise
Sure an' they must be pleased seein' the geddle come up in the world like she has.,Joy
Today's sticker is from the French Grand Prix he won to get back on course for the title with his sixth superb victory.,Joy
I'm gon na fall flat on my bum.,Fear
McLeish smiled to himself at the swift fall from grace in the postscript.,Joy
"While all her instincts balked against becoming too enmeshed with Vitor, she seemed destined to fight a losing battle.",Sadness
It was a test that the Three-Ninetieth passed with flying colours destroying thirteen enemy aircraft and achieving excellent bombing results.,Joy
For months the polls have been predicting an unprecedented landslide victory for the Right in next month's general election.,Anticipation
The station which persuaded him to make a comeback says it can't believe its luck.,Joy
"We know that as soon as we try and make inroads into that it, it would absolutely mushroom.",Anticipation
Erm you probably all know Murphy 's law that what can go wrong will go wrong.,Fear
I'm not getting anywhere my legs aren't long enough,Sadness
He married someone else in 1860 and drops out of the picture.,Sadness
He says well if you want to pack it in love.,Joy
I hope with all my heart that you find it a pyrrhic victory.,Anticipation
"And if Emily had expected Craig to ride in on a white charger and save the day, she had been doomed to disappointment.",Sadness
"It was my 85th birthday recently and out of the blue, a letter arrived from my daughter containing tickets for a four-day trip to Paris.",Surprise
"He had to do a double take, bumping into a filing cabinet.",Surprise
Everyone looked round and Biff's jaw dropped.,Surprise
She almost jumped out of her skin when she saw it.,Surprise
Alyssia stopped dead in her tracks.,Fear
I say wonders will never cease I have just written a receipt  and I have put it in her envelope.,Surprise
"Plod could herd them all together into a group, march them to and from their destinations, depriving them along the way of all alcohol  and beat the living daylights out of any who still insisted on stepping out of line.",Fear
"Well you can guarantee they're gon na fight tooth and nail over this job creation scheme, to stop it.",Anticipation
I think they feared that we wouldn't at that stage we'd be opening up free for all of the kind which we've obviously been seeking to avoid thus far.,Fear
"Now though, the gloves are off.",Anger
"What do they say, they're up in arms?",Anger
"I managed to win a couple of quid on Deano to score the first goal, at odds of 7-1.",Joy
"Over my dead body, I said.",Anger
Bernice made a vow never to pick a fight with him.,Joy
Don't you pick holes in my religion.,Anger
Don't split hairs.,Trust
"The ad-man opposite had been casting meaningful glances at her all evening, and the likeliest explanation seemed to be that she and Roger were doing a number together and I'd inadvertently got caught in the crossfire.",Surprise
"They wondered why it was that the storm had left them in this stifling, steamy condition when storms were supposed to clear the air.",Surprise
"The two bodies are often at loggerheads, and there are constant disputes over methods.",Anger
Today the world's top giant slalom men lock horns for vital early points in the World Cup battle which ends next March in Sweden.,Anticipation
"And he can't wait to start work on a movie version of the bard's famous play, Much Ado About Nothing.",Anticipation
But Ilona's alter-ego remains a bone of contention between them.,Anger
"She was tempted to call his bluff, hardly able to believe he'd carry out his threat.",Surprise
"Now if we were actually to do that in our service books, which is what one of the things that the Methodist conference suggests we consider, just crossing out and putting in the correct non-sexists language, I bet you that eighty percent of our church would be up in arms.",Anger
"Somebody's in a black mood, they were objecting to that.",Anger
The electronic scoreboard at Leeds Road could blow a fuse when the Aussies play us next month.,Anticipation
You're a bit cheesed off are you Teresa?,Anger
But I don't want you to fly off the handle.,Fear
"Oh yeah, yeah used to get on my nerves.",Anger
He'd go spare.,Anger
Now on top of her injuries her insurance is set to go through the roof.,Fear
"Hey, d' you hear about the fire-eater who couldn't go anywhere without meeting an old flame, made him feel really hot under the collar.",Sadness
"They plan to be back in Europe in October or November, and if their performances are anything like the last London one, you'll kick yourself for missing them.",Anticipation
Can't you mind your own business?,Anger
"This quick temper that flared at nothing, that was new.",Anger
In terms of how rant and rave for probably not very long and you don't get aggressive behaviour.,Fear
"Glancing at those muscular knees, ruddy beneath the hem of his pleated tunic, she made up her mind that if he ever attempted to spank her again she would scream blue murder.",Anger
Did he want me to eat shit or the words stick in my throat and choke me?,Anger
"It makes my blood boil, it's sacrilege.",Anger
"When the rations were yet again reduced, that was really the last straw.",Anger
"With bated breath and trying to make herself invisible, Joan waited for them to pass the alcove and make their way downstairs.",Fear
It is enough to make you break out in a cold sweat.,Anticipation
No wonder she's bundle of nerves.,Fear
"Fortescue is hopping like a cat on hot bricks, demanding something should be done, but he has no more idea than I what can be done.",Anticipation
You get your legs get stiff you get pins and needles and things like that.,Fear
"I think that these articles will hit home, cause a stir, such a stir as Henry Mayhew created some time ago when he, too, wrote of the cabined and confined lives of the capital's poor.",Sadness
Bernie's such an eager beaver.,Anticipation
"I was sitting on the edge of my seat, jumping up and down, shouting.",Joy
Her legs trembled as his strokes of desire on her thighs crazed her need to fever pitch.,Anticipation
"Millions of carers argue that they bear the brunt of the job... without recognition, or proper payment.",Sadness
The only thing I'm bent out of shape about is that nobody knows it's a different pickup; everyone thinks it's a regular Trembucker.,Anger
"You know, because it was absolute, I was bored to tears.",Disgust
She was cut to the quick by the accusation.,Sadness
The soft sound of voiding filled the air as he rolled over in agony like a fish out of water.,Sadness
"Well, in the morning, when you've got over your fit of pique, about I don't know what, I'll expect an apology from you.",Anger
"For Pete's sake woman, get a grip on yourself.",Anger
Don't let him get worked up.,Anticipation
"Mike Waterlane's their only decent player, and he'll go to pieces as soon as his father turns up.",Anticipation
"You don't tell me it's because you've got a lump in your throat, or an ache in your heart, or a sensation of nausea in your stomach.",Fear
My bet is Peachcake'll be pleased as punch.,Anticipation
The 8 successful trips so far speak volumes.,Joy
I need to let off steam.,Anger
How musical the river and how charming the trees whispering sweet nothings as we pass.,Joy
"I was absolutely in my element, how did I come over, Jannie?",Fear
Men propping up the bar over lunch will bewail the loss of earlier freedoms when they were footloose and fancy free.,Sadness
"The eating had ended, and the drinking was in full swing.",Joy
"You're full of the joys of spring at the moment, so make the most of this harmonious period.",Joy
"If attending a wedding or party of close friends, you should have the time of your life",Anticipation
"Me friend over in Norway, she said she's she got over there and sat down and she thought, yes, she's got the Complete Works of Shakespeare, I'll have a whale of a time trying to read it, she picks up the book, it's all in Norwegian.",Sadness
Let Your Hair Down' boasts a Beatles riff and a Michael Hutchence vocal.,Joy
You want to have a good time and paint the town red this weekend.,Joy
The party is over.,Sadness
"Pull the other one, Jo, it's got bells on it.",Anticipation
"Dorothy Snook, of Bristol, will be on cloud nine after a stay at the Hereford Moat Hotel, which includes flying lessons, a balloon flight and a helicopter lesson.",Joy
"She supposed she was feeling a bit down in the dumps, apprehensive too about celebrating Christmas Day at the Danbys.",Sadness
He had never seen Karr looking so down in the mouth.,Sadness
He was grinning from ear to ear and pointing his finger up to the flies.,Joy
"Oh, he's on the telly, he must be happy as Larry.",Joy
"My heart sinks, the great indefiniteness of the world is spreading through the files like damp.",Sadness
Our hockey girls jump for joy as Jane Sixsmith scores the goal that clinched a bronze medal.,Joy
"Chairman all I've heard so far is music to my ears er thank you. I'd like to er say one or two words before er moving the amendment and I, I'm very pleased to to hear that the two are to be incorporated as it were into this one.",Joy
He's as pleased as Punch about it.,Joy
She was in seventh heaven.,Joy
Good god ur Susan will be thrilled to bits if you went again.,Joy
But Princess Di was tickled pink yesterday by this new portrait.,Joy
"Anyway, she's on top of the world.",Joy
I'm absolutely walking on air.,Joy
Mark'll go bananas I expect.,Anger
Your harebrained idea of going to the chap instead of me.,Anger
"No but I'm not used to all the boys like being around and they're really manipulative, you know, and they really, they're really cunning and clever, you know? And I'm not all there, you know?",Disgust
"The lady with the upright hair who Gloria said had a screw loose, clattered into the bedroom holding out a steaming jug on a tray.",Surprise
You must be stir crazy.,Sadness
He was so wide of the mark that it made her smile.,Joy
"Watch for the fireworks, or gatecrash the party in ten minutes.",Anticipation
"My attitude on the block was, they know what they're there for, if they overstep the mark they know what to expect.",Sadness
It's always been the bane of my life that you can eat your way through a tuckshop without gaining a pound while I only have to look at a picture of a cream cake to make the scales groan.,Disgust
Only I had to carry the can for it.,Anger
"I was terrified of him, but I found myself in a horrible Catch 22 situation.",Fear
There were ominous dark clouds gathering overhead now and a chill wind.,Fear
"There was a cloud on the horizon, however, which worried the Bradleys.",Fear
"When the going gets tough, where will the hostess retreat to?",Fear
Soon the cat's back and the seal would be high and dry.,Fear
"After being left in the lurch like that, she'd probably have talked.",Anger
You heard it could be murder?,Surprise
But I am in a pickle when I get one.,Fear
There's one thing about junk food -- it gives you a quick fix of carbohydrates and sugar.,Joy
Saved by the bell.,Surprise
Heavy dependence on sponsorship and arts council cash could spell trouble as the recession hits arts budgets.,Fear
This too may merely serve to let the situation spiral out of control.,Surprise
"And never forget, it's an away match, and we're on a sticky wicket.",Trust
We're not trying to stir up a hornet 's nest but we do want to let everyone know what we're trying to achieve.,Anticipation
But I think it's take the bull by the horns,Anticipation
The launch day saw a few teething problems.,Sadness
"Hearthwares shall come, in case we need to fight our way out of some tight spot.",Anticipation
Voice over Oxford's uphill battle against relegation continues tomorrow at Barnsley.,Anticipation
I'll batten down the hatches.,Anticipation
"Because when you do run across the road, you get to the other side, and you're thinking, good gracious, that was a close shave, I'll have to sit down for a minute, I think I'll have a cup of coffee or something.",Anticipation
"You need the help I can give you because if you unknowingly make a false move or fail to react promptly because you're not sure what to do, your daughter will be dispensed with as being too risky a property.",Fear
"But now, in her present jittery, restless mood, it seemed fraught with danger.",Fear
"But here and there some found action on this very camp, and didn't live to tell the tale",Fear
"We're on the edge of what we call a no go area, if we try to sail any closer to the wind the boat will come upright, the sail will flap and we'll slow down and stop and so the best we can make either side of the no go area is known as a beat.",Fear
We know employees are being blackmailed with their jobs to risk life and limb so employers can make a fat profit at our expense.,Anger
So it's best just to be er on the safe side.,Fear
"The first type had power, and safety in numbers.",Trust
Russia and Ukraine sail close to the wind on Black Sea fleet.,Anticipation
It's her small child who is at stake.,Sadness
I did not sleep a wink last night for worrying about you and if you are alright.,Fear
The Oxford West and Abingdon seat is likely to be a neck-and-neck sprint to the finish between the Tories and the Liberal Democrats with Labour a more spirited also-ran.,Anticipation
Back to square one again Shel.,Sadness
The Dalek Killer's led us up a blind alley.,Surprise
Plant says the act'll bring the house down.,Anticipation
It all but sunk Pompey and put United on the crest of the wave.,Trust
"She's dead in the water, and out of range of our conventional rescue forces.",Sadness
It's all downhill from now on.,Sadness
And she passed with flying colours,Joy
"Oxford University's Matthew Syed has got off to a flying start in the Olympic Qualifying tournament in Italy, winning both his opening matches.",Joy
"This month, try to get a foothold on freedom.",Anticipation
Oh go up in smoke,Fear
President-elect Clinton takes office in January after a landslide victory over Bush earlier this month.,Anticipation
The young members section has come on in leaps and bounds in the last few years.,Joy
The insurance business cycle is also at a low ebb.,Sadness
"To put that off, she needed to make headway that would be noticed in the real world.",Anticipation
"With six shoes under 37, Diadora is likely to make inroads into the budget end of the market.",Anticipation
"That, she thought, will be the moment of truth.",Anticipation
It is only through my imaginative shuffling of the aces that we are able to stay ahead of the pack.,Anticipation
"But tomorrow never happens and, worse, the wife does the one thing absolutely guaranteed to put the kibosh on the whole matter.",Disgust
"Inflation seemed like a pyrrhic victory, almost a tease.",Disgust
A proper rags to riches saga.,Joy
"She grabbed Steve's sleeve, their eyes in unison watched the ball sail through the air and high over the net.",Anticipation
Fraser Digby was trying to save the day when he gave away a penalty,Sadness
We sink or swim together.,Trust
I don't think they will throw in the towel as they did against Pontypool last year.,Anticipation
"He used a wooden spoon to stir the mixture, whistling softly.",Joy
I hope she doesn't throw the empty glass out into the void to follow its contents; pity the hapless passer-by under that little bolt from the blue.,Anger
Then I got a phone call out of the blue from Mandy the next morning.,Surprise
Mrs Friar's jaw dropped.,Surprise
"Good God, he thought, I should like to do something that would really make her jump out of her skin for once.",Surprise
"It won't knock your socks off, but any new species of parrot is pretty exciting.",Joy
"Indeed, there is a tint of punk rock as in a couple of places and this will raise eyebrows vocalist Billy Nicholson sounds like the dreaded John Lydon.",Surprise
"John was standing rooted to the spot, his expression stony.",Anger
"If you're still not convinced, seeing is believing.",Surprise
"Manville stopped dead in his tracks, whirling to confront the guard.",Anticipation
"I can't believe it, wonders will never cease.",Surprise
"The woman has had to fight tooth and nail, probably, and work much harder, to get at an equal level with the man, so I would suspect that I'm getting value for and quality there by going for the woman.",Trust
Without it there could be a free for all and if abolition goes through the employers may well find themselves having to resort to some form of cooperative or wages club in its place.,Anticipation
Officers at Darlington Borough Council say the gloves are off in the battle for compensation over the town's 12m Dolphin Centre sports complex.,Anger
Southwold are up in arms with it.,Anger
"Poor man was through the wars, wasn't he?",Sadness
"I always seem to, I think we, we were always at Stanford Hall that we must, it was a must that we have a good programme because if somebody comes and there's nothing doing, they think well.",Anticipation
"Over my dead body,' Mitch stormed.",Anger
"I have constructed a kitchen out of flatpacks with only one minor nervous breakdown and one remarkable shouting match involving my wife, her mother, myself and how a length of pine beading ought to be attached to several wall cupboards.",Joy
"Their mission was less ambitious than the day before, just to clear the air over the battlefield.",Anticipation
For almost 18 months Margaret Thatcher and Nigel Lawson have been at loggerheads over sterling.,Anger
"His officer had recommended him, noticing he was not like everyone else, that he never buckled, and, in life's battle of wills, could stare down any enemy, overcome any weakness.",Trust
Last night's developments came just 24 hours after today revealed how Diana had agreed a secret pact with Charles to bury the hatchet for the sake of appearances.,Disgust
Everyone ought to be up in arms about it.,Anger
Why don't you guys get off my back?,Anger
"Donald and Jean had disappeared and Mary was in a black mood, striding along and making old Donald gasp.",Anger
I'm so cheesed off with you lot can't we do anything about it?,Anger
"Who's offside, who's offside for crying out loud?",Anger
"But vegetarianism is purely a matter of choice and there's no people that harp on about you shouldn't eat meat, get on my nerves.",Anger
"However, one party source said: The gloves are off.",Anticipation
"Mrs Mangle would be mortified, Harold horrified... and Scott would go spare.",Surprise
"Once that happens, according to the Meat and Livestock Commission, the floodgates will open and prices will go through the roof.",Anticipation
"Most have been exterminated, and good riddance to them.",Disgust
Joe thought it was wiser to help her get up and fight her hard luck than to harp on it.,Surprise
And people can also get pretty hot under the collar on Central Weekend.,Anger
He appears to have a quick temper and uses his hands continually when he speaks.,Anger
It made her want to rant and rave and kick out at something - preferably him.,Anger
She was ready to scream blue murder when the flap landed on her tender slit.,Anger
Matilda was also beginning to see red.,Anger
"He held his temper on a pretty short fuse, and it was as liable to explode in the face of a headmaster as in that of a dustman.",Anger
Their steamed up windows excited George.,Joy
It's a subject that makes my blood boil and disappointments have left me a blister short of swearing.,Anger
From July onwards the town of Whaddon had waited with bated breath.,Anticipation
She was a bundle of nerves.,Fear
"Like a cat on hot bricks, ain't she?",Disgust
"He longed for action, yearned to be trusted with high responsibilities, to undertake prodigious feats requiring a cool head, a stout heart and nerves of steel.",Anticipation
He woke with pins and needles in his foot and Lee poking him.,Disgust
I'm scared stiff I'm going to lose touch with my children.,Fear
"He also gives us a measured degree of self doubt mixed with evasiveness and a realistic progression from a young, ambitious eager beaver on the music hall circuit to a very old man languishing with his memories in Switzerland.",Fear
I was on the edge of my seat for most of the time but nobody could deny we deserved this result.,Anticipation
The fans at fever pitch.,Joy
He was raring to go.,Anticipation
Wimbledon had been expected to bear the brunt of the FA's displeasure because of their past record.,Sadness
You are beside yourself.,Anger
"Mind, I get bored to tears with doing this every damn day.",Disgust
"When Lucy suggested a quick drink, Jay was cut to the quick and described herself, with sparse and ironic regret, as working late.",Sadness
"Alyssia watched from the sidelines, feeling like a fish out of water, watching Piers from under her lashes.",Anticipation
Maybe this was in a fit of pique when the relationship was down rather than up.,Anger
Might get it out of your system.,Anticipation
I don't think you should let yourself get worked up like that.,Anger
He's as pleased as Punch about it.,Joy
Others have behavioural problems and need to let off steam in a safe and controlled setting.,Anticipation
And the brothers who are getting all steamed up about their driving test.,Anger
In a stew?,Anger
"She was not going to dig up ancient grievances or remind Gloria of days gone by, when she used to come into the Watermen with half a dozen different gentlemen-friends in tow or, which was even worse, unaccompanied and on the look-out for a lonely man who might take a fancy to her.",Anticipation
The idea makes me feel weak at the knees.,Fear
"Mike was wearing a jester's outfit with bells on, one leg red and the other leg yellow.",Surprise
I was in my element.,Joy
The dog hunt is in full swing on a fresh scent.,Anticipation
"On a good day, it only takes a glimpse of blue sky or a tree in blossom to make me feel full of the joys of spring and in love with life",Joy
I think. you really ought to let your hair down and become one horny bitch.,Anticipation
"But old Walter, he was such a jolly soul-so bright, and loud, and down-to-earth, so much the life and soul of the party. Not at all my idea of a writer.",Surprise
Tonight we're going to paint the town red.,Fear
The overiding feeling among local people is one of relief that the party is over.,Surprise
"It's all right, I'm only pulling your leg.",Joy
They always saw his jokes before he got to the punch line.,Anticipation
Gispy Fiddler put Jonjo on cloud nine with a Royal Ascot win two years ago and was having his first run for almost a year when shaping well behind Bit Of A Lark at Haydock.,Joy
When I left you last night you were positively down in the dumps.,Sadness
"Jesus ain't arf depressed at seeing his children down in the mouth, me deario.",Joy
"There was a tall muscular man of about his own age standing naked before him, grinning from ear to ear.",Surprise
She turned to see a very large handsome man holding out a cardigan and grinning like a Cheshire cat.,Joy
He had to make his own terms. Ten years later Burton would have been as happy as Larry.,Joy
In the evening the surround tops flamed red in the rays of the setting sun and cheerful singing emanated from the tent of our happy go lucky band of sherpas,Joy
But my heart sinks within me.,Sadness
It is pleasing that there is a large degree of support for the Southern fire station as I said it was music to my ears.,Joy
"He had landed a contract as pleased as Punch, and I made a feast for his friends.",Joy
"The old lady was in raptures over him, however.",Joy
But Leonora was in seventh heaven.,Joy
Oh I said I'm thrilled to bits with that.,Joy
We were all tickled pink.,Joy
People who believe in the ancient chinese art of Chi-Dynamics say it'll make you feel on top of the world.,Joy
You can bet your bottom dollar some teams would go bananas on that.,Sadness
"Poor Loopy Lil, she had a screw loose.",Sadness
"Now she comes to a decision whatever the cost and there is a cost, she's gon na have to eat humble pie, how are they gon na receive her when she goes back.",Anticipation
It's a Freudian slip isn't it really?,Surprise
"I don't want to speak out of turn, of course.",Fear
They should not stand on ceremony and overtly assert their authority.,Surprise
"Derry's achilles heel so far in the current campaign has been a lacklustre, inconstant midfield.",Sadness
The blasted thing's on the blink again.,Anger
Making me carry the can.,Disgust
Angry Fry vowed to take Barnet to an industrial tribunal for unfair dismissal -- promising that the story of his stormy relationship with Flashman would' all come out in the wash.,Anger
But Ms McIlroy grasped the nub and crux of the matter.,Joy
When Matt married Inez I was left high and dry.,Sadness
I wouldn't leave her in the lurch.,Trust
"There was going to be murder before the night was through, and I had to get clear.",Anticipation
Tim and I are just simply out of sync at the moment.,Sadness
"If a complaint arises, it declines to pass the buck to tour operators, hotels or airlines.",Trust
"So far, research into psychoneuroimmunology has done no more than scratch the surface of this potentially important topic.",Anticipation
"It is happening with many other crimes, as crime figures spiral out of control.",Disgust
I'm the tar baby.,Sadness
You're in a tight spot.,Sadness
Everything had gone without a hitch.,Joy
We have had to batten down the hatches.,Fear
"Bit of a close shave, that.",Surprise
"And, once you're there, stay absolutely quiet -- take slow, calm, soft breaths and don't move an inch until you are sure that the coast is clear.",Anticipation
I wasn't as convinced as Malpass that Nevil was out of harm 's way.,Fear
"This meant that Crawford would ride it out, appearing from under the water.",Anticipation
"But just to be on the safe side, we're taking the Coal Board to court.",Anticipation
Safety in numbers was an illusion.,Surprise
You've already had one long journey today and I'd rather you didn't fall asleep at the wheel.,Fear
"I'm supposed to be resting, but after I'd had forty winks, I felt a lot better, so I toddled over here.",Trust
Or you can do absolutely nothing but lie in the sun in the garden and tan.,Sadness
A key ingredient in his rise from a minor counties' also-ran to England strike bowler was a brief coaching session with the Dennis Lillee.,Trust
I long for a blockbuster that's also good writing,Anticipation
"Evans made the saving tackle, just as he did when Tony Stanger, having barn-stormed out of Wayne Proctor's tackle, threatened to bring the house down in a move created by Craig Chalmers' adroit collection of Mike Rayer's kick, the irrepressible Armstrong arcing out of harm's way on a touchline blast and the thumping support of Cronin and Kenny Milne (one tighthead to the good).",Joy
One of Britain's biggest service companies has come to grief with disastrous figures and a crash in its shares.,Sadness
Male speaker It's heartbreaking to see your ducks dead in the water.,Sadness
The rest was all downhill.,Sadness
"Who's going to look after them when they fall flat on their face and come whining, that's what I want to know?",Anger
"Its own nature, the fall from grace, the eating of the fruit of the knowledge of good and evil?",Sadness
"Do we have the makings of a champion, or does stress and anxiety get the better of you?",Fear
hey haven't achieved such a swing since its landslide victory in 1945.,Joy
Or will they live to fight another day?,Anticipation
