sentence,emotion
"Constance was in seventh heaven, the dresses, the hats, the model girls, everything appeared perfect to her.",Joy
Oh Tilly was thrilled to bits with that little that little plastic thing.,Joy
"I'm tickled pink. If I wasn't, I wouldn't have kept quiet about you and him, would I?",Joy
"Erm since we've got together we, we are on top of the world.",Joy
"You feel, at the end of the treatment you feel as if you're walking on air.",Joy
If you think about it long enough you'll go nuts.,Anticipation
It's alright but you get to the bottom of those stairs and sometimes feel lost.,Trust
But we are saved by the bell.,Joy
"The cost of redeveloping a dilapidated shopping arcade into flats could spiral out of control, a councillor has warned.",Surprise
"And that we don't want to put up anything that'll be a stumbling block, to people coming.",Anticipation
So we now take the easy way out by using gas which we carry with us.,Anticipation
Presumably that's just the tip of the iceberg.,Anticipation
He just took a calculated risk on the spur of the moment.,Anticipation
"Close shave, that one.",Surprise
You escaped death by a hair 's breadth.,Anticipation
"And would the swans find shelter from the storm, or ride it out like three-masted sailing ships?",Anticipation
Och he knows you're in safe hands like when you come round here.,Trust
Safety in numbers.,Trust
"And the, the swaying of the ship and I used to sleep like a log.",Trust
Can Desert Orchid the champion bring the house down and win.,Anticipation
"Anne Dawson, had your chips?",Surprise
Sure an' they must be pleased seein' the geddle come up in the world like she has.,Joy
Today's sticker is from the French Grand Prix he won to get back on course for the title with his sixth superb victory.,Joy
McLeish smiled to himself at the swift fall from grace in the postscript.,Joy
It was a test that the Three-Ninetieth passed with flying colours destroying thirteen enemy aircraft and achieving excellent bombing results.,Joy
For months the polls have been predicting an unprecedented landslide victory for the Right in next month's general election.,Anticipation
The station which persuaded him to make a comeback says it can't believe its luck.,Joy
"We know that as soon as we try and make inroads into that it, it would absolutely mushroom.",Anticipation
He says well if you want to pack it in love.,Joy
I hope with all my heart that you find it a pyrrhic victory.,Anticipation
"It was my 85th birthday recently and out of the blue, a letter arrived from my daughter containing tickets for a four-day trip to Paris.",Surprise
"He had to do a double take, bumping into a filing cabinet.",Surprise
Everyone looked round and Biff's jaw dropped.,Surprise
She almost jumped out of her skin when she saw it.,Surprise
I say wonders will never cease I have just written a receipt  and I have put it in her envelope.,Surprise
"Well you can guarantee they're gon na fight tooth and nail over this job creation scheme, to stop it.",Anticipation
"I managed to win a couple of quid on Deano to score the first goal, at odds of 7-1.",Joy
Bernice made a vow never to pick a fight with him.,Joy
Don't split hairs.,Trust
"The ad-man opposite had been casting meaningful glances at her all evening, and the likeliest explanation seemed to be that she and Roger were doing a number together and I'd inadvertently got caught in the crossfire.",Surprise
"They wondered why it was that the storm had left them in this stifling, steamy condition when storms were supposed to clear the air.",Surprise
Today the world's top giant slalom men lock horns for vital early points in the World Cup battle which ends next March in Sweden.,Anticipation
"And he can't wait to start work on a movie version of the bard's famous play, Much Ado About Nothing.",Anticipation
"She was tempted to call his bluff, hardly able to believe he'd carry out his threat.",Surprise
The electronic scoreboard at Leeds Road could blow a fuse when the Aussies play us next month.,Anticipation
"They plan to be back in Europe in October or November, and if their performances are anything like the last London one, you'll kick yourself for missing them.",Anticipation
It is enough to make you break out in a cold sweat.,Anticipation
"Fortescue is hopping like a cat on hot bricks, demanding something should be done, but he has no more idea than I what can be done.",Anticipation
Bernie's such an eager beaver.,Anticipation
"I was sitting on the edge of my seat, jumping up and down, shouting.",Joy
Her legs trembled as his strokes of desire on her thighs crazed her need to fever pitch.,Anticipation
Don't let him get worked up.,Anticipation
"Mike Waterlane's their only decent player, and he'll go to pieces as soon as his father turns up.",Anticipation
My bet is Peachcake'll be pleased as punch.,Anticipation
The 8 successful trips so far speak volumes.,Joy
How musical the river and how charming the trees whispering sweet nothings as we pass.,Joy
"The eating had ended, and the drinking was in full swing.",Joy
"You're full of the joys of spring at the moment, so make the most of this harmonious period.",Joy
"If attending a wedding or party of close friends, you should have the time of your life",Anticipation
Let Your Hair Down' boasts a Beatles riff and a Michael Hutchence vocal.,Joy
You want to have a good time and paint the town red this weekend.,Joy
"Pull the other one, Jo, it's got bells on it.",Anticipation
"Dorothy Snook, of Bristol, will be on cloud nine after a stay at the Hereford Moat Hotel, which includes flying lessons, a balloon flight and a helicopter lesson.",Joy
He was grinning from ear to ear and pointing his finger up to the flies.,Joy
"Oh, he's on the telly, he must be happy as Larry.",Joy
Our hockey girls jump for joy as Jane Sixsmith scores the goal that clinched a bronze medal.,Joy
"Chairman all I've heard so far is music to my ears er thank you. I'd like to er say one or two words before er moving the amendment and I, I'm very pleased to to hear that the two are to be incorporated as it were into this one.",Joy
He's as pleased as Punch about it.,Joy
She was in seventh heaven.,Joy
Good god ur Susan will be thrilled to bits if you went again.,Joy
But Princess Di was tickled pink yesterday by this new portrait.,Joy
"Anyway, she's on top of the world.",Joy
I'm absolutely walking on air.,Joy
"The lady with the upright hair who Gloria said had a screw loose, clattered into the bedroom holding out a steaming jug on a tray.",Surprise
He was so wide of the mark that it made her smile.,Joy
"Watch for the fireworks, or gatecrash the party in ten minutes.",Anticipation
You heard it could be murder?,Surprise
There's one thing about junk food -- it gives you a quick fix of carbohydrates and sugar.,Joy
Saved by the bell.,Surprise
This too may merely serve to let the situation spiral out of control.,Surprise
"And never forget, it's an away match, and we're on a sticky wicket.",Trust
We're not trying to stir up a hornet 's nest but we do want to let everyone know what we're trying to achieve.,Anticipation
But I think it's take the bull by the horns,Anticipation
"Hearthwares shall come, in case we need to fight our way out of some tight spot.",Anticipation
Voice over Oxford's uphill battle against relegation continues tomorrow at Barnsley.,Anticipation
I'll batten down the hatches.,Anticipation
"Because when you do run across the road, you get to the other side, and you're thinking, good gracious, that was a close shave, I'll have to sit down for a minute, I think I'll have a cup of coffee or something.",Anticipation
"The first type had power, and safety in numbers.",Trust
Russia and Ukraine sail close to the wind on Black Sea fleet.,Anticipation
The Oxford West and Abingdon seat is likely to be a neck-and-neck sprint to the finish between the Tories and the Liberal Democrats with Labour a more spirited also-ran.,Anticipation
The Dalek Killer's led us up a blind alley.,Surprise
Plant says the act'll bring the house down.,Anticipation
It all but sunk Pompey and put United on the crest of the wave.,Trust
And she passed with flying colours,Joy
"Oxford University's Matthew Syed has got off to a flying start in the Olympic Qualifying tournament in Italy, winning both his opening matches.",Joy
"This month, try to get a foothold on freedom.",Anticipation
President-elect Clinton takes office in January after a landslide victory over Bush earlier this month.,Anticipation
The young members section has come on in leaps and bounds in the last few years.,Joy
"To put that off, she needed to make headway that would be noticed in the real world.",Anticipation
"With six shoes under 37, Diadora is likely to make inroads into the budget end of the market.",Anticipation
"That, she thought, will be the moment of truth.",Anticipation
It is only through my imaginative shuffling of the aces that we are able to stay ahead of the pack.,Anticipation
A proper rags to riches saga.,Joy
"She grabbed Steve's sleeve, their eyes in unison watched the ball sail through the air and high over the net.",Anticipation
We sink or swim together.,Trust
I don't think they will throw in the towel as they did against Pontypool last year.,Anticipation
"He used a wooden spoon to stir the mixture, whistling softly.",Joy
Then I got a phone call out of the blue from Mandy the next morning.,Surprise
Mrs Friar's jaw dropped.,Surprise
"Good God, he thought, I should like to do something that would really make her jump out of her skin for once.",Surprise
"It won't knock your socks off, but any new species of parrot is pretty exciting.",Joy
"Indeed, there is a tint of punk rock as in a couple of places and this will raise eyebrows vocalist Billy Nicholson sounds like the dreaded John Lydon.",Surprise
"If you're still not convinced, seeing is believing.",Surprise
"Manville stopped dead in his tracks, whirling to confront the guard.",Anticipation
"I can't believe it, wonders will never cease.",Surprise
"The woman has had to fight tooth and nail, probably, and work much harder, to get at an equal level with the man, so I would suspect that I'm getting value for and quality there by going for the woman.",Trust
Without it there could be a free for all and if abolition goes through the employers may well find themselves having to resort to some form of cooperative or wages club in its place.,Anticipation
"I always seem to, I think we, we were always at Stanford Hall that we must, it was a must that we have a good programme because if somebody comes and there's nothing doing, they think well.",Anticipation
"I have constructed a kitchen out of flatpacks with only one minor nervous breakdown and one remarkable shouting match involving my wife, her mother, myself and how a length of pine beading ought to be attached to several wall cupboards.",Joy
"Their mission was less ambitious than the day before, just to clear the air over the battlefield.",Anticipation
"His officer had recommended him, noticing he was not like everyone else, that he never buckled, and, in life's battle of wills, could stare down any enemy, overcome any weakness.",Trust
"However, one party source said: The gloves are off.",Anticipation
"Mrs Mangle would be mortified, Harold horrified... and Scott would go spare.",Surprise
"Once that happens, according to the Meat and Livestock Commission, the floodgates will open and prices will go through the roof.",Anticipation
Joe thought it was wiser to help her get up and fight her hard luck than to harp on it.,Surprise
Their steamed up windows excited George.,Joy
From July onwards the town of Whaddon had waited with bated breath.,Anticipation
"He longed for action, yearned to be trusted with high responsibilities, to undertake prodigious feats requiring a cool head, a stout heart and nerves of steel.",Anticipation
I was on the edge of my seat for most of the time but nobody could deny we deserved this result.,Anticipation
The fans at fever pitch.,Joy
He was raring to go.,Anticipation
"Alyssia watched from the sidelines, feeling like a fish out of water, watching Piers from under her lashes.",Anticipation
Might get it out of your system.,Anticipation
He's as pleased as Punch about it.,Joy
Others have behavioural problems and need to let off steam in a safe and controlled setting.,Anticipation
"She was not going to dig up ancient grievances or remind Gloria of days gone by, when she used to come into the Watermen with half a dozen different gentlemen-friends in tow or, which was even worse, unaccompanied and on the look-out for a lonely man who might take a fancy to her.",Anticipation
"Mike was wearing a jester's outfit with bells on, one leg red and the other leg yellow.",Surprise
I was in my element.,Joy
The dog hunt is in full swing on a fresh scent.,Anticipation
"On a good day, it only takes a glimpse of blue sky or a tree in blossom to make me feel full of the joys of spring and in love with life",Joy
I think. you really ought to let your hair down and become one horny bitch.,Anticipation
"But old Walter, he was such a jolly soul-so bright, and loud, and down-to-earth, so much the life and soul of the party. Not at all my idea of a writer.",Surprise
The overiding feeling among local people is one of relief that the party is over.,Surprise
"It's all right, I'm only pulling your leg.",Joy
They always saw his jokes before he got to the punch line.,Anticipation
Gispy Fiddler put Jonjo on cloud nine with a Royal Ascot win two years ago and was having his first run for almost a year when shaping well behind Bit Of A Lark at Haydock.,Joy
"Jesus ain't arf depressed at seeing his children down in the mouth, me deario.",Joy
"There was a tall muscular man of about his own age standing naked before him, grinning from ear to ear.",Surprise
She turned to see a very large handsome man holding out a cardigan and grinning like a Cheshire cat.,Joy
He had to make his own terms. Ten years later Burton would have been as happy as Larry.,Joy
In the evening the surround tops flamed red in the rays of the setting sun and cheerful singing emanated from the tent of our happy go lucky band of sherpas,Joy
It is pleasing that there is a large degree of support for the Southern fire station as I said it was music to my ears.,Joy
"He had landed a contract as pleased as Punch, and I made a feast for his friends.",Joy
"The old lady was in raptures over him, however.",Joy
But Leonora was in seventh heaven.,Joy
Oh I said I'm thrilled to bits with that.,Joy
We were all tickled pink.,Joy
People who believe in the ancient chinese art of Chi-Dynamics say it'll make you feel on top of the world.,Joy
"Now she comes to a decision whatever the cost and there is a cost, she's gon na have to eat humble pie, how are they gon na receive her when she goes back.",Anticipation
It's a Freudian slip isn't it really?,Surprise
They should not stand on ceremony and overtly assert their authority.,Surprise
But Ms McIlroy grasped the nub and crux of the matter.,Joy
I wouldn't leave her in the lurch.,Trust
"There was going to be murder before the night was through, and I had to get clear.",Anticipation
"If a complaint arises, it declines to pass the buck to tour operators, hotels or airlines.",Trust
"So far, research into psychoneuroimmunology has done no more than scratch the surface of this potentially important topic.",Anticipation
Everything had gone without a hitch.,Joy
"Bit of a close shave, that.",Surprise
"And, once you're there, stay absolutely quiet -- take slow, calm, soft breaths and don't move an inch until you are sure that the coast is clear.",Anticipation
"This meant that Crawford would ride it out, appearing from under the water.",Anticipation
"But just to be on the safe side, we're taking the Coal Board to court.",Anticipation
Safety in numbers was an illusion.,Surprise
"I'm supposed to be resting, but after I'd had forty winks, I felt a lot better, so I toddled over here.",Trust
A key ingredient in his rise from a minor counties' also-ran to England strike bowler was a brief coaching session with the Dennis Lillee.,Trust
I long for a blockbuster that's also good writing,Anticipation
"Evans made the saving tackle, just as he did when Tony Stanger, having barn-stormed out of Wayne Proctor's tackle, threatened to bring the house down in a move created by Craig Chalmers' adroit collection of Mike Rayer's kick, the irrepressible Armstrong arcing out of harm's way on a touchline blast and the thumping support of Cronin and Kenny Milne (one tighthead to the good).",Joy
hey haven't achieved such a swing since its landslide victory in 1945.,Joy
Or will they live to fight another day?,Anticipation
"Happily, the faux-pas hasn't stopped Dino continuing to make inroads into the Irish record market",Joy
Are you ready for the moment of truth?,Anticipation
And Caro knew that Hugh was out of the picture.,Joy
I want to sail through with you like the fish.,Trust
We're on the up and up.,Joy
The Mishcon job came like a bolt from the blue.,Surprise
His jaw dropped slightly as he took them in.,Surprise
He jumped out of his skin like he'd been stung.,Surprise
Meryl was struck dumb.,Surprise
"However, one party source said 'The gloves are off.'",Anticipation
"The Everyman is making this exclusive offer to the Echo to promote the two for the price of one Bard Card ticket, which operates for its own Shakespearian production, Much Ado About Nothing, until Friday.",Anticipation
"The main bone of contention is not the Josef P. Kleihues-designed building itself, but the plan to raise the adjacent sculpture garden on top a two-storey parking garage, masking it from pedestrian view with a sixteen foot stone wall.",Surprise
Tarquin and Lucretia go through the roof.,Joy
She was standing there crammed full of enthusiasm and energy like a bomb on a short fuse.,Anticipation
Italy must take the biscuit.,Trust
"That's what it was all about six years ago, why you were a bundle of nerves every time I came anywhere near you, because you couldn't cope with your feelings.",Surprise
He was still on tenterhooks waiting for his directors decision about the manager's job.,Anticipation
Incredibly deep down.,Surprise
"I looked at Sogono, in his olive greens and boots, he looked a fish out of water.",Surprise
"The following day, however, Mrs Thatcher had a change of heart, and asked him to flesh out his figures.",Surprise
"Pleased as Punch, like I thought.",Joy
"A moment later the two of them had disappeared into the house, leaving me standing there in the sunshine, feeling suddenly weak at the knees.",Surprise
"After a while, the bullying at school didn't affect me too much, and I was in my element with all the wildlife around me.",Joy
As you cruise the waterways on a luxury motor launch feast your eyes on the illuminated city and feast yourself on a delightful 4 course dinner.,Joy
She's still full of the joys of spring.,Joy
A playground and playhouse keep the tots happy while the teenagers have a ball with a whole host of absorbing activities.,Joy
"Willi was infinitely preferable when they were in a crowd, when he was being the life and soul of the party.",Joy
Honestly that plus my homemade crme caramel made in the individual ramekins and he's happy as Larry.,Joy
Female speaker I was over the moon.,Joy
"He was a strong, healthy lad and as pleased as punch to be working with Dad.",Joy
"Match of the Day's team, as well as his own, in raptures.",Joy
Super Steve's in seventh heaven.,Joy
"But it also brought a smile to manager Brian Horton, and I was thrilled to bits for him because he's taken a lot of stick over recent results.",Joy
How plumptious I feel and tickled pink.,Joy
But you can be sure that you'll have the time of your life.,Joy
He said I'm on top of the world.,Joy
An hour later Sophie left the pet shop feeling as though she were walking on air.,Joy
"I stopped laughing and sat on the floor, back to the wall, legs out straight.",Joy
The interruption had knocked her thoughts out of sync,Surprise
The above four cases only scratch the surface.,Anticipation
Mr Kelloway says there have only been minor teething problems and he is satisfied the machine is ready for production.,Anticipation
As far as road races are concerned we are having to financially batten down the hatches this year and all events will be self-financing.,Anticipation
It was a calculated risk.,Trust
You may even throw caution to the wind and try one of our Mystery Trips.,Anticipation
"He has polished shoes, a close shave, and too much pride for a free drink.",Trust
"Proceed with caution and, at the risk of sounding like a tabloid astrologer, look before you leap.",Anticipation
"Ambulances arrived, Ivor and Pauline were in safe hands.",Trust
The Chancellor's policies are not expected to bear fruit until the spring.,Anticipation
"Fortunately, like the other tests, the 31-year-old convent-educated beauty passed with flying colours.",Joy
"Yup, I've got it made.",Joy
They believe MPs could make a killing as they will know the likely outcome before the vote.,Anticipation
Keepers face make or break decisions,Anticipation
"I wasn't sure that our clothing would pass muster at the doors, but others in the crowd were even more outlandish and uncivilised.",Surprise
The fact that Scotland tried to rise to the occasion was worth more than just two precious points.,Joy
Marie Brown thought she was one of the fortunate ones to sail through unaffected.,Surprise
Captain Tony Wright came in to save the day.,Joy
He'll have to sink or swim.,Trust
"And the search is on to find the top dog among an entry of eight hundred collies, German shepherds and even poodles.",Anticipation
This order came like a bolt from the blue and I'm very grateful for it.,Joy
It was completely out of the blue.,Surprise
His jaw dropped.,Surprise
"She pulled it up again and lo and behold, there was water in the bucket.",Surprise
Ashi found herself rooted to the spot in disbelief as she watched the threshing legs of her daughter.,Surprise
Talk about seeing is believing.,Surprise
 Simon had the satisfaction of seeing the chief inspector momentarily struck dumb.,Surprise
Mr West predicts that January 1 will mean a free for all.,Joy
"But if we wait long enough, perhaps thousands of years, Tit for Tat will eventually muster the numbers required to tip it over the knife-edge, and the population will flip.",Anticipation
Somehow you have to play devil 's advocate against your presentation and try to knock it to pieces.,Anticipation
Staff tiptoe past your room at night so as to let sleeping dogs lie.,Joy
Black And Blue is BBC1's controversial 90-minute drama guaranteed to get the law and order brigade hot under the collar.,Anticipation
Neither Bradford nor Birmingham regrets entering the tourist trade - the industry waits with bated breath to see how Swindon fares.,Anticipation
It calls for consummate timing and nerves of steel.,Anticipation
She would be suffering from pins and needles.,Anticipation
But the Tigersharks are wide awake and raring to go.,Anticipation
How about that for a Freudian slip?,Surprise
"The following day, however, Mrs Thatcher had a change of heart, and asked him to flesh out his figures.",Anticipation
"Most people in Three Oaks Bay were awaiting Dizzy Liston's return with mixed feelings; mainly apprehension, mixed with trepidation.",Anticipation
And of course we're pleased as Punch to put him in print again.,Joy
Their very names speak volumes for the unity which the Spirit creates.,Joy
"These were wise words from a wise old bird, but Matilda was too steamed up to see it that way.",Joy
"Drama Zoff detailed the drama behind the scenes as Gazza was kept on tenterhooks for the past four days, wondering whether he would make his Italian debut.",Anticipation
"Yo dudes, it's time to chill out with DJ Phil Disco King.",Joy
"The equivalent, I suppose, of someone who loves chocolate falling into a big vat of the stuff and unhurriedly eating their way out. I was in my element, immersing myself in all the terms falconers use and studying Brian's vast collection of equipment, some of it quite old and valuable, but in immaculate condition, like his birds.",Joy
"The morning session at the law courts was in full swing, and the halls and corridors were crowded.",Anticipation
She was having a very enjoyable time and was clearly the life and soul of the party.,Joy
'I was only pulling your leg' his face collapsed with relief.,Surprise
"In 1987, when I was chosen to fight my first election at Birmingham's Perry Barr, I was on cloud nine, even though it was a safe Labour seat.",Joy
Suddenly Lisa was grinning from ear to ear.,Joy
"' Smile,' he said, his voice indicating that he was certainly grinning like a Cheshire cat.",Joy
The sight of a twig she had picked bursting into bud in a vase was enough to send her in raptures.,Joy
Birthday boy Fred Proctor was in seventh heaven after notching up yet another election success.,Joy
"People have been diagnosed with cancer etcetera, erm, in fact at the convention yesterday, they had some clients on the stage, one lady had been diagnosed with breast cancer, she got a pay-out from living assurance, five years later she's been cleared, and, and she's thrilled to bits about it.",Joy
It was a wonderful feeling as if I was walking on air.,Joy
We would soon be in input overload and go nuts.,Anticipation
Every time it goes on the blink I wonder who'll win.,Anticipation
"We were caught, high and dry.",Surprise
"But scratch the surface, and an astonishing mystery is revealed.",Anticipation
This is the tip of the iceberg.,Anticipation
I hope all your plans go forward without a hitch.,Anticipation
"Al Jourgensen is running around backstage, shouting out such helpful commands through his megaphone as' Batten down the hatches', and' Splice the mainsail'; stopping every minute or two to proudly show off his new tattoo.",Anticipation
"Muriel, probably because of her years and the fact they were looking for a more mature person, was by a hair 's breadth the front-runner, ahead of two younger girls both with experience of the insurance business.",Anticipation
I believed he was in safe hands.,Trust
"Anyway, you'd better watch your step.",Anticipation
"She was too tall and untidy, but her quality shone out like a light as she passed into the crowd, and the noise and the tension that are part of even the smallest race meeting.",Surprise
"With so much within easy reach, we were clearly spoilt for choice and decided to sleep on it.",Anticipation
"Both projects, and more besides, aim to make Microsoft an also-ran in tomorrow's markets.",Anticipation
No you've got them in the bag.,Surprise
Over eight hundred people turned out in Oxford to see the blockbuster everyone's talking about.,Anticipation
"Alistar Campbell roared past 500 runs on Saturday and put himself firmly on course for the magical 1,000 mark.",Anticipation
"After all, England have another chance to fall from grace when they meet Germany on Saturday.",Anticipation
"Before the setbacks, the new Lancias had passed their tests with flying colours.",Joy
"Finally, under the obscurity of dust and smoke the Germans managed to get a foothold on the summit",Joy
For months the polls have been predicting an unprecedented landslide victory for the Right in next month's general election.,Anticipation
"Twelve months ago we came on leaps and bounds, and surprised even ourselves by winning the All Ireland.",Surprise
"A 68 put Ballesteros safely through to the last two days but a distressed Olazabal, despite a 69, faced an anxious wait to see if he would make the cut.",Anticipation
It was absolutely make or break.,Anticipation
And so the moment of truth.,Surprise
"He likes to be one step ahead of the pack, getting there before others do.",Anticipation
If he played golf as badly as that he'd pack it in.,Surprise
It may prove to be a Pyrrhic victory.,Anticipation
Then out of the blue he got a phone call asking if he was still interested in the car as it had to be sold to make space for the family.,Surprise
Lisa's jaw dropped open.,Surprise
Words fail me in praise of your company and its workforce.,Joy
"While perhaps reasonable for a very small group, it could soon become a free for all in a larger organisation.",Anticipation
This amounts to a quest for possible ways in which Tit for Tat individuals might happen to cluster together in sufficient numbers that they can all benefit at the banker's expense.,Surprise
She returned with a bravado somewhat at odds with the way she was feeling.,Surprise
Why were the prophets so dead set against mediumship?,Surprise
"In the battle of wills, as well as the battle of resources, the Soviet Union has cards to play.",Joy
The share price should go through the roof.,Anticipation
"My head roared with neon pins and needles, at once visual and sensual.",Surprise
"Louis was reconstituting the royal family, keeping his adult sons on tenterhooks.",Anticipation
"McAllister turned off the gas ring, blew out the match, and walked to the front door, grumbling to herself, hold your horses, I'm coming, I'm coming, when another urgent series of knocks sounded.",Anticipation
I've kept myself fit and I was raring to go.,Anticipation
Pleased as Punch she is.,Joy
He was still on tenterhooks waiting for his directors' decision about the manager's job.,Anticipation
"Perfect for the postparty come-down spliff up, chill out and get One Dove on them gramophones.",Joy
I said I was only pulling your leg.,Joy
"This brought forth the usual gales of laughter and requests to pull the other one, stop having them on, etc.",Joy
You'll have to take it easy when you do come out.,Trust
They just want to stay on cloud nine.,Joy
He was grinning from ear to ear and the first stabs of doubt needled at Ruth's heart.,Joy
They are both over the moon.,Joy
Gould was in seventh heaven.,Joy
"Oh, yes, absolutely, thrilled to bits.",Joy
"If attending a wedding or party of close friends, you should have the time of your life",Anticipation
Everything becomes so much easier and some people have an experience akin to walking on air or walking on the moon.,Joy
"It could take some trial and error to discover the correct interval, and you may need to chart the person's pattern.",Joy
You mean it's all right to sleep with you under your own roof with your mother there although it's not quite the done thing here.,Surprise
Again there is nothing catch 22 about this.,Trust
The walls seem to meet overhead to block out the sky and a chill wind blows as we approach the impasse at the head of the gully.,Anticipation
All those vital issues are to be rigidly centralised and that is the crux of the matter.,Anticipation
As a last resort you can call out the total number of those present.,Anticipation
"Isn't it easier to pass the buck to your boss, some staff person or a committee?",Anticipation
"In spite of recent emotional dramas or conflicts, you must put on a brave face and allow others to share your load.",Surprise
Defence cuts could also be a stumbling block.,Anticipation
You come out of a tight spot smelling of roses.,Surprise
We ran towards our target -- King Kong's massive back -- without a hitch and I reached it just ahead of my friend.,Joy
"A natural tendency in times of recession is to batten down the hatches and look after our own needs, but as we sold raffle tickets in aid of our livestock projects in Uganda, people at the Royal certainly supported our scheme with cheerful generosity.",Joy
"Phew, that was a close shave.",Surprise
Look before you leap.,Anticipation
But it's very reassuring to know I am in safe hands here.,Trust
"I'd best take a look, just to be on the safe side.",Anticipation
"It is clearly impossible to anticipate every eventuality, but the guiding principle must be that if the source of difficulty does not lie in the implementation of a selected strategy and is not being assessed during the conduct of the investigation, then assistance can be given.",Anticipation
We have to make sure we don't fall flat on our faces after a great win at West Brom.,Anticipation
Perhaps the most dramatic fall from grace was the case of Hu Yaobang.,Surprise
"His parting advice to those interested in taking the challenge was keep an ear to the ground, your back to the wheel and get your foot in the door.",Anticipation
I've been out of the picture so long that I just want people to know what I'm about.,Anticipation
"If rags to riches is still the American dream, William Casey lived his own version of it.",Joy
The Ohio bank does not leave its newcomers to sink or swim by themselves.,Trust
He sipped some from a wooden spoon and stained part of his wispy beard a bright orange.,Joy
Why should he suddenly have materialized out of the blue?,Surprise
"Theda's jaw dropped perceptibly, and she was conscious of a sliver of tender warmth slipping into her heart.",Surprise
"So startled was he by this sudden onslaught, Ryker momentarily froze, rooted to the spot",Surprise
Mr Proctor said last night that it was all water under the bridge.,Trust
Don't miss these two chances to see red deer and roe deer as they leave the cover of their reed beds in the Leighton Moss Nature Reserve.,Anticipation
"Boxing and Las Vegas, joined in very unholy matrimony, are waiting with bated breath and heavily baited betting slips for the outcome of a fight that can be almost relied upon to restore some credibility to the heavyweight division.",Anticipation
"It is this mixture of natural and mechanical sound that makes' Ecim' so absorbing, where the feeling that one half will overcome the other keeps the excitement captured here at a fever pitch.",Anticipation
Power is prepared to run through a wall; Willie O'Connor is as hard as nails and Liam Simpson takes no prisoners.,Surprise
He sounded pleased as punch for me.,Joy
The bed was comfortable and so large you had to shout sweet nothings.,Joy
I'm really on tenterhooks about the twins.,Anticipation
"And what is even more wonderful, they all think the world of each other.",Joy
"On location in Australia, he was nothing if not the life and soul of the party.",Joy
"It's all right, Robbie, I was pulling your leg.",Joy
"At that moment, and perhaps for an hour afterwards, I was on Cloud Nine.",Joy
I was over the moon.,Joy
The ciderheads were in seventh heaven.,Joy
She was thrilled to bits.,Joy
"Once the firms' merger was in place, Mr Morrison took up the thorny issue of rationalising the accountancy profession.",Anticipation
And so we all had a close shave once a term.,Joy
